Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2025-05-03 10:45:00+00:00,95930.0,96035.0,95837.7,95901.6,309.391,29676946.0271,4881,181.1,17370557.5337
2025-05-03 11:00:00+00:00,95901.5,95956.0,95856.0,95936.7,253.829,24349085.6098,2887,160.62,15407225.8408
2025-05-03 11:15:00+00:00,95936.7,96021.1,95898.1,96000.0,133.958,12856507.2092,1859,89.562,8595862.166
2025-05-03 11:30:00+00:00,95997.5,96068.8,95892.6,95933.9,180.671,17342229.8999,2842,98.177,9424557.6843
2025-05-03 11:45:00+00:00,95934.0,95978.6,95868.0,95928.0,108.14,10373807.8789,1558,64.733,6209902.6748
2025-05-03 12:00:00+00:00,95928.1,95964.0,95870.0,95918.8,109.521,10505577.3234,1771,51.184,4909416.2237
2025-05-03 12:15:00+00:00,95918.8,96057.8,95918.7,96038.0,120.406,11559312.4308,1860,55.463,5324189.2386
2025-05-03 12:30:00+00:00,96040.0,96137.2,95986.0,96135.0,77.185,7415170.8875,1630,50.869,4887190.9461
2025-05-03 12:45:00+00:00,96135.0,96148.0,96064.2,96116.3,100.486,9657799.6907,1445,56.237,5404637.2281
2025-05-03 13:00:00+00:00,96116.4,96191.1,96094.0,96167.4,73.358,7053788.3784,1344,51.289,4931723.1988
2025-05-03 13:15:00+00:00,96167.5,96249.0,96167.3,96240.6,73.05,7027624.8557,1367,50.822,4889214.4962
2025-05-03 13:30:00+00:00,96240.7,96301.4,96172.0,96240.0,123.503,11886057.235,1940,57.974,5579880.2143
2025-05-03 13:45:00+00:00,96240.0,96319.0,96228.0,96319.0,69.678,6707850.2392,1243,39.77,3828654.1547
2025-05-03 14:00:00+00:00,96319.0,96430.3,96270.7,96278.0,212.423,20468188.5548,3170,118.845,11451948.9232
2025-05-03 14:15:00+00:00,96278.1,96400.0,96266.3,96343.0,79.208,7631618.5793,1313,51.92,5002509.0649
2025-05-03 14:30:00+00:00,96342.1,96367.5,96257.6,96346.0,80.782,7780106.7566,1541,27.107,2610905.1656
2025-05-03 14:45:00+00:00,96346.1,96366.0,96286.1,96347.0,46.432,4472733.8064,972,17.662,1701179.0248
2025-05-03 15:00:00+00:00,96346.1,96481.0,96346.1,96435.0,217.059,20934776.585,2750,123.873,11946919.2106
2025-05-03 15:15:00+00:00,96435.0,96435.0,96383.5,96390.1,122.327,11792978.1669,1180,50.099,4829617.1845
2025-05-03 15:30:00+00:00,96390.1,96450.6,96379.6,96388.6,196.831,18976863.9542,1641,99.98,9639373.0826
2025-05-03 15:45:00+00:00,96388.5,96409.9,96287.6,96376.0,105.601,10174470.1203,1726,54.431,5243939.635
2025-05-03 16:00:00+00:00,96376.1,96390.0,96258.4,96261.4,152.754,14713146.6455,1882,58.308,5616738.3446
2025-05-03 16:15:00+00:00,96261.3,96282.0,96166.1,96244.2,140.557,13526002.2391,2040,52.344,5037487.2764
2025-05-03 16:30:00+00:00,96244.2,96244.2,96090.0,96136.0,232.784,22382608.6727,2688,82.755,7956069.2966
2025-05-03 16:45:00+00:00,96136.0,96214.2,96062.0,96180.1,194.096,18664141.4665,2022,102.618,9868308.3381
2025-05-03 17:00:00+00:00,96180.1,96180.1,95937.0,96015.7,354.119,34006019.0106,4331,135.869,13046223.439
2025-05-03 17:15:00+00:00,96016.0,96098.2,95850.0,96094.1,295.011,28312343.6151,3747,148.039,14209675.2255
2025-05-03 17:30:00+00:00,96093.4,96100.0,95954.0,96054.0,100.004,9602688.886,1625,47.235,4535088.7759
2025-05-03 17:45:00+00:00,96052.1,96170.2,96052.0,96162.5,149.809,14401292.7999,1623,104.642,10058768.495
2025-05-03 18:00:00+00:00,96162.6,96185.6,96078.0,96180.3,65.828,6328671.8509,1011,40.808,3923034.9199
2025-05-03 18:15:00+00:00,96180.3,96247.7,96100.1,96160.0,118.964,11441404.8666,1630,68.825,6618732.1749
2025-05-03 18:30:00+00:00,96160.1,96160.1,96070.0,96081.9,79.021,7594891.6455,943,23.449,2253258.1613
2025-05-03 18:45:00+00:00,96081.9,96149.5,96078.0,96121.9,62.356,5992968.1233,1049,34.798,3344450.4466
